session,predict
[1178],"[1179, 3512, 6093, 4322, 4810, 7996, 2245, 4708, 2721, 3628, 433, 5813, 1966, 4596, 3174, 8389, 3851, 6, 1052, 549]"
[11],"[18, 9, 73, 14, 170, 4792, 11507, 944, 12, 615, 5748, 10779, 2876, 2986, 4448, 159, 1841, 945, 11627, 168]"
"[7406, 2331]","[87, 3531, 8271, 4358, 10159, 3237, 7407, 5663, 1275, 6492, 3434, 963, 2927, 9711, 8603, 4219, 1876, 7148, 9477, 887]"
[817],"[364, 11422, 1128, 329, 3964, 2036, 5778, 482, 3147, 4207, 5636, 1870, 2916, 2720, 71, 2100, 5309, 818, 3356, 790]"
"[1395, 489, 1265, 6975, 3938]","[1166, 2806, 1849, 255, 3515, 7568, 2089, 1168, 4093, 1207, 4960, 5054, 2358, 11, 30, 3361, 3385, 606, 3029, 1534]"
"[5174, 10056]","[3458, 9630, 9735, 6307, 7180, 2424, 3602, 9338, 5474, 3382, 2696, 1992, 5193, 9422, 4943, 3909, 6039, 6834, 9623, 10432]"
"[3191, 1122, 11]","[4166, 3129, 1455, 2876, 159, 8874, 8825, 4792, 259, 9, 1799, 945, 6580, 2872, 7373, 9487, 4648, 18, 1150, 1942]"
[10736],"[9664, 1236, 762, 833, 468, 1098, 6191, 2090, 4491, 336, 3616, 3888, 580, 2112, 3904, 7026, 1492, 509, 7696, 11637]"
"[8116, 5044]","[1290, 6393, 5065, 11000, 2402, 5045, 2622, 3977, 1741, 4104, 909, 222, 6263, 7015, 4732, 7122, 4074, 8632, 6819, 10479]"
[159],"[9, 160, 1166, 73, 11, 145, 1028, 3194, 170, 4792, 1504, 140, 18, 1835, 40, 930, 14, 604, 501, 9551]"
[1085],"[9274, 4111, 1086, 239, 396, 8935, 2935, 8352, 3365, 1423, 3055, 6774, 3484, 3699, 451, 776, 6133, 8025, 6095, 590]"
[14],"[18, 5021, 5739, 2611, 169, 5725, 1201, 1908, 1165, 8145, 170, 658, 40, 2103, 333, 140, 2013, 146, 6774, 613]"
"[6175, 1488]","[11329, 4170, 9954, 7776, 295, 6761, 836, 6927, 4725, 4096, 6068, 438, 2, 3249, 5545, 8820, 787, 3667, 1541, 3144]"
[3396],"[429, 3701, 4474, 1050, 5820, 628, 2940, 6088, 1134, 746, 5714, 867, 855, 4446, 49, 513, 373, 6774, 10115, 3438]"
"[2075, 4559]","[1103, 1846, 1832, 8432, 2683, 6175, 8518, 469, 1998, 7102, 1708, 10415, 724, 6133, 7958, 3193, 2313, 7949, 4532, 601]"
[5652],"[1287, 4624, 834, 3686, 996, 6209, 2824, 49, 5631, 2246, 116, 469, 289, 2802, 4232, 3477, 2956, 92, 954, 266]"
[5420],"[5421, 159, 2022, 3367, 3546, 866, 9097, 3218, 3837, 1239, 4825, 3061, 5562, 3376, 1708, 329, 4429, 5662, 6084, 8265]"
[6158],"[2263, 5704, 3552, 1321, 746, 1705, 4500, 1254, 987, 2730, 2292, 480, 8386, 589, 6904, 3088, 1072, 4999, 3052, 1849]"
"[7707, 5771, 1305, 160, 145]","[151, 2362, 840, 4384, 8756, 1650, 419, 7189, 3572, 381, 4978, 1677, 6318, 8825, 4064, 162, 2806, 1231, 4264, 7048]"
