session,predict
[6560],"[6322, 362, 205, 2710, 3562, 3264, 160, 840, 408, 18, 3857, 6606, 2026, 3260, 2176, 5395, 8, 1653, 1897, 972]"
"[33, 889]","[6131, 2585, 1178, 2742, 5949, 1787, 3127, 8544, 8473, 3463, 1682, 4009, 238, 1225, 3322, 6033, 6384, 6500, 1354, 320]"
[4032],"[8266, 966, 6943, 732, 1413, 1733, 464, 627, 1915, 183, 1674, 812, 3015, 611, 5657, 1955, 3823, 566, 3410, 1847]"
[414],"[304, 3855, 2914, 2913, 7, 1664, 486, 1220, 970, 1170, 4513, 53, 984, 171, 237, 3195, 3067, 6888, 508, 2770]"
[7236],"[1773, 1173, 1591, 8459, 500, 4709, 5208, 3935, 4028, 165, 9353, 1133, 2209, 3541, 8000, 8591, 8983, 2261, 2251, 6562]"
"[8095, 4189, 9311]","[9497, 114, 6572, 1370, 9312, 6745, 53, 118, 5726, 218, 17, 4762, 4030, 1636, 39, 907, 5269, 2642, 7529, 8007]"
[5027],"[5028, 2837, 7814, 5707, 754, 152, 362, 8621, 2042, 873, 101, 2154, 602, 1281, 396, 1901, 6727, 2477, 2151, 1157]"
"[489, 7032]","[15, 330, 675, 1156, 1967, 978, 331, 2581, 383, 840, 1818, 172, 568, 2919, 977, 661, 756, 1897, 5770, 1022]"
[582],"[1801, 2068, 2521, 8607, 690, 1025, 329, 9084, 1243, 1276, 3768, 118, 3152, 812, 6776, 1558, 736, 6560, 800, 583]"
[865],"[1110, 2984, 4115, 1133, 6275, 2320, 4486, 764, 518, 6659, 4199, 4147, 293, 2886, 433, 1548, 3090, 2287, 1794, 381]"
[1783],"[4113, 1784, 3966, 149, 5942, 2356, 4219, 227, 1806, 4761, 357, 5618, 4377, 3245, 1801, 499, 3812, 4360, 166, 3013]"
"[9656, 500]","[3539, 3213, 3200, 3436, 2974, 183, 4894, 1367, 6816, 6126, 7037, 2770, 218, 370, 9042, 1690, 3944, 2139, 2144, 1664]"
